anger_index,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49
0.25,0.005499259,0.0008908178,0.003218235,-0.00949436,-1.3796192e-06,0.01524534,0.0031037156,-0.0003398742,0.0057722386,-0.0027085205,0.0040878165,-0.004432704,-0.0027405317,0.0031316197,-0.010548024,-0.008530382,0.0046356837,-0.015914869,0.0045258603,0.0009573227,0.0003383663,-0.0035731257,-0.0059149535,-0.0033538537,-0.00093935005,-0.008417185,-0.0077032503,-0.0049417485,-0.0043374314,0.009794239,0.0022806874,0.0077793743,0.005703239,0.0036496578,0.014269682,-0.020131825,0.008946538,0.0042468845,-0.004015471,0.0070259282,-0.002940533,0.007730027,-0.0021395688,0.0028922376,-0.0012926882,-0.014892344,0.0034151985,-0.007932661,0.003973531,-0.0014137395
0.729,0.026337747,0.00027665158,-0.0058140927,-0.009931475,-0.009679566,0.020576796,0.023466581,0.014693778,0.005043644,-0.019104462,-0.007330859,-0.009017093,-0.021139411,0.019551873,-0.026216162,-0.031768065,0.027738895,-0.022825554,0.012392179,0.03268529,-0.04048483,-0.027118899,-0.015504376,-0.014908803,0.010617829,-0.008766072,0.023484206,-0.02285341,-0.025895003,0.029339168,-0.00032638398,0.0037473598,0.026319914,-0.017985709,0.030273907,-0.021817164,0.030679777,0.01793542,-0.017881386,0.0421227,-0.012469779,0.026654873,-0.03296379,0.016948415,0.0059030233,-0.0046828906,0.029867087,-0.017647699,0.004882376,-0.027740376
0.646,0.020731512,0.001791159,-0.009444562,0.00015297021,-0.016308911,0.016490782,0.014739353,-0.0032328859,-0.0022683768,-0.023346595,-0.0075145685,-0.0034398274,-0.020504132,0.024013491,-0.01851763,-0.013904804,0.01856602,-0.0052054743,0.0076888413,0.023926059,-0.03219204,-0.018568056,-0.018448962,-0.0070961504,0.0039741723,-0.0031674963,0.020700194,-0.015280846,-0.012829866,0.013777555,-0.014027423,0.0051957564,0.020469416,-0.016322998,0.024308588,-0.0126163,0.028707793,0.020272728,0.0056039975,0.027022874,-0.012371189,0.011575189,-0.026145332,0.011366667,-0.0043483675,0.002128552,0.022341833,-0.017235842,0.020059464,-0.016166192
0.333,0.012678988,0.0019801238,-0.0078055128,-0.00021907795,-0.0142827695,0.008575114,0.0061797746,-0.004414016,-0.0101500815,-0.010542184,0.0006971808,-0.0066921106,-0.011656267,0.013709279,-0.014029682,-0.021929154,0.0048182947,0.0030421456,0.005504255,0.02008896,-0.013377103,-0.009736152,-0.004684199,-0.0029493964,0.0012279027,-0.0029794516,0.016514337,-0.011265365,-0.009519926,0.011421169,-0.0032720824,0.011557319,0.020017538,-0.0054893554,0.020091731,-0.01012638,0.011384801,0.013337962,-0.00065247226,0.01977599,-0.0027711946,0.001137987,-0.008886268,0.0063284566,-0.007075292,0.008858298,0.017340075,-0.0029862062,0.0030939255,-0.012965798
0.312,0.01836243,-0.0021648922,0.001373835,-0.0063743433,0.009310378,0.0076262546,0.008279987,0.0077843657,0.018589363,-0.008775461,-0.0074958126,-0.007989413,-0.010901637,0.01484867,-0.0130694965,-0.017304515,0.012909818,-0.0119667705,0.012610853,0.006972328,-0.02346979,-0.010861138,-0.0024150605,-0.009399591,0.0066652414,-0.006946527,0.0071621207,-0.0028416913,-0.008045455,0.026502857,0.0036029224,0.0017130515,0.009319328,-0.00078550534,0.018278128,-0.008421243,0.016207391,0.015762124,-0.007608298,0.0117078405,0.00044053866,0.021151746,-0.012616045,0.013367941,0.011624522,0.00046238,0.011726787,-0.0062485356,-0.0001436889,-0.011303973
0.938,0.0315304,0.023404026,-0.015900228,0.012103199,-0.020614529,0.017324116,0.030191697,-0.0044024806,-0.000761087,-0.0065542078,-0.017006502,0.007417338,-0.03134693,0.020144342,-0.01565998,-0.032797653,0.019361213,-0.008906951,0.015996011,0.032941725,-0.0401726,-0.017723793,-0.010822739,0.00906037,0.0139342835,0.0059217424,0.018069282,-0.031593062,0.003771003,-0.000340267,0.00058743893,-0.014849753,0.017196927,-0.015697744,0.031164536,0.007259173,0.032753706,0.014546196,0.009174856,0.026782837,-0.030473955,-0.0098628,-0.031371146,0.002259705,-0.012106759,-0.00025293065,0.031369887,-0.0027232252,0.02284731,-0.021939931
0.759,0.022134915,0.0013737492,-0.014653455,-0.0077829743,-0.014492516,0.021655563,0.024129534,0.005759563,0.009607541,-0.014473609,-0.0025352875,-0.0055698957,-0.019603418,0.0104235215,-0.016666554,-0.0214219,0.02120377,-0.010695869,0.016948791,0.024747148,-0.029021716,-0.021666357,-0.011178762,-0.010662891,0.010380118,-0.00030630804,0.018040972,-0.016263649,-0.013292817,0.018490773,-0.0030119685,0.002549092,0.019680873,-0.01579359,0.026522461,-0.009431132,0.016014978,0.013520709,-0.0072886585,0.026906596,-0.012941744,0.012505535,-0.021791577,0.010587764,0.00054631574,-0.002100022,0.02134955,-0.0145269325,0.009646375,-0.020840526
0.354,-0.0010226718,-0.003873407,0.007684592,-0.0073491144,-0.0044941753,0.011000632,0.006455003,-0.003924222,-0.0057028863,-0.005871233,0.00017167207,-0.007977789,-0.0070942636,-0.004175479,-0.0012485643,-0.0069312914,-0.0023778284,-0.0031834657,-0.00016295441,0.00060589734,-0.006572469,-0.00065132626,-0.0041812276,-0.01781795,-0.011849363,-0.01129628,0.01057182,0.0023093289,-0.0039236513,0.0073538576,-0.0026885455,0.013134342,-0.005963125,0.00046177726,0.008871319,-0.008957923,0.0051293136,0.008568954,-0.007892219,0.0019946753,0.0086502815,0.009384748,-0.009002692,0.011020927,-0.0015388912,0.003538088,-0.00040986005,-0.0083638895,0.011888625,-0.0072012334
0.521,0.021012899,0.0046782023,0.00067694386,0.0020863109,-0.011288593,0.016959049,0.013703823,0.0013555584,-0.005855727,-0.015135012,-0.0020316474,-0.00633224,-0.010116804,0.008158686,-0.014844096,-0.021382788,0.013331337,0.00091338553,0.01746406,0.01478373,-0.026733078,-0.013771791,-0.013460066,0.0004348726,0.006173161,-0.0034475378,0.01087691,-0.015221961,-0.0096920645,0.008609882,-0.014283243,0.010743601,0.016693512,-0.007358634,0.014069188,-0.0075084562,0.01136146,0.021035315,0.007325587,0.02749687,-0.018272223,0.0044899653,-0.015516148,-0.0026266803,-0.0046098945,0.0004430858,0.008311177,-0.017734092,0.00839871,-0.017250512
0.468,0.01049649,0.008115443,-0.007176898,-0.010204761,-0.012592698,0.018891465,0.019496595,-0.0012835702,0.0034082565,-0.005031487,-0.0057181013,-0.009522422,-0.015274768,0.012089656,-0.018906303,-0.020087145,0.016249483,-0.0100964885,0.01036148,0.012515546,-0.030962784,-0.017349724,-0.011225047,-0.008413218,0.007061218,-0.00020065483,0.016411494,-0.010683382,-0.013054331,0.021902211,-0.001025243,-0.0057555307,0.013009244,-0.0072736004,0.021601303,-0.010759384,0.022511484,0.009046946,-0.005248869,0.022995252,-0.00809256,0.015748316,-0.019474017,0.017504223,-0.0026455983,0.0019485725,0.023679676,-0.015622118,0.009531223,-0.017729223
0.271,0.013892325,-0.0035443348,-0.0061468654,-0.010103341,-0.008763858,-0.0029516832,0.0043952814,0.0016502285,0.0087754205,-0.005579542,-0.005535289,-0.0038884229,-0.008966056,0.0070154215,-0.021135032,-0.0021327038,0.005654509,-0.006454263,-0.00087707717,0.018898942,-0.01724715,-0.015123807,-0.0076876148,-0.006876956,0.002344764,-0.0037409822,0.015417648,-0.0046333247,-0.007655283,0.017549518,0.0011111719,0.008636276,0.011732964,-0.016367065,0.00736626,-0.011358203,0.009717697,0.016093265,-0.015098002,0.013773571,-0.010492049,0.006826862,-0.009920867,0.007385375,0.010562023,0.005209645,0.0122636175,-0.006461518,3.0324763e-05,-0.007851957
