fear_index,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49
0.521,-0.00869386,-0.0031573493,-0.009099465,-0.00010777658,-0.0129027935,-0.015230721,-0.0033449358,-0.0030355253,0.013348749,0.0013866224,-0.0019536067,-0.016685855,0.009614628,-0.012021786,0.020419225,0.010752206,-0.004289278,0.002246764,-0.009852816,-0.008204433,-0.006658765,-0.0076337093,0.007841552,0.0073993662,0.012517532,0.0035522163,-0.005880651,0.009724304,0.009171734,-0.0067315334,0.008475511,0.001786314,-0.0067873495,0.015656542,-0.011842495,-0.00671935,0.016660819,-0.001555971,0.015866539,-0.01729876,-0.001134097,-0.0074156956,-0.0055290298,0.003380537,-0.0052234977,-0.0098895375,0.011413263,0.00947788,0.004787863,0.012125676
0.375,-0.021266256,-0.0204936,0.014860195,0.0029544083,-0.012402335,-0.022630565,-0.00219806,-0.017699042,0.019337654,0.01572422,-0.0035768333,-0.00051815616,0.02151065,-0.010165126,0.023574827,0.020528875,-0.010985907,-0.0031435175,-0.0041159936,-0.0120589705,-0.019626549,-9.6698874e-05,0.013476613,0.026536018,0.02514869,-0.009068006,-0.01567571,0.002624255,0.009867276,-0.0027243313,0.020322656,0.019716825,-0.012025877,0.01904506,-0.018588046,-0.00030961807,0.019500421,-0.016820248,0.016560573,-0.02368794,-0.0059431912,0.0041532544,-0.002259196,0.0048859166,-0.013316042,-0.017323898,-0.005176008,0.02600633,0.014747281,0.010550695
0.708,-0.03579783,-0.011738876,0.0018981063,-0.0116081275,-0.031646986,-0.026647573,0.006056244,-0.013168704,0.014323841,0.012964888,-0.012969186,-0.008790102,0.017765999,-0.0173184,0.033870198,0.022806648,-0.010473618,0.0045785494,-0.004626698,-0.018781276,-0.026267277,-0.00621925,0.010564083,0.017127149,0.032136053,-0.01398678,-0.019816983,-0.00858762,0.020022327,0.0034116397,0.016035741,0.016681932,-0.023453608,0.021101194,-0.02076649,0.0044497107,0.024596335,-0.015218729,0.035708115,-0.030280499,-0.0012958276,-0.0042641824,-0.0060533728,0.0063078622,-0.015050583,-0.014496197,-0.00014257593,0.030695766,0.010222007,0.022129474
0.271,-0.026312018,-0.020035755,0.012339689,-0.0023847949,-0.011639038,-0.015475262,0.003430114,-0.013859728,0.014672693,0.010100369,-0.00023693033,0.0046196384,0.004826252,-0.0060762065,0.016551621,0.008608415,-0.011122095,0.010749519,-0.011621935,-0.019259376,-0.010161168,0.010004176,0.016806552,0.020241896,0.017356785,-0.002023236,-0.014539788,-0.00050508196,0.0018495038,-0.001446343,0.012283386,0.015952226,-0.005698798,0.0020089007,-0.016966427,-0.0014279266,0.015163669,-0.014453805,0.010700438,-0.015650475,-0.010236936,0.0057327086,-0.009051038,0.0023338504,-0.014186536,-0.005260428,-0.009312422,0.008128742,0.004284481,0.0056594796
0.417,-0.030067021,-0.012094196,0.0015054706,-0.005628137,-0.026196174,-0.021535171,0.0029493382,-0.018504921,0.016498312,0.019553898,-0.013067933,-0.009763599,0.02438497,-0.012876195,0.029395282,0.029111912,-0.017557554,-6.166875e-05,-0.0025627657,-0.01837726,-0.01325113,0.0009627105,0.011954758,0.025542889,0.031267498,-0.008141582,-0.019629672,0.0013668155,0.021916883,0.004336739,0.014786008,0.013786326,-0.015385572,0.025319379,-0.018699253,0.0037402268,0.036178622,-0.020085914,0.028370526,-0.02797654,-0.011296365,-0.005071606,-0.0045608254,0.0021870409,-0.023210634,-0.01548218,0.00063880737,0.035684295,0.008044049,0.00851418
0.875,-0.0116489865,0.024828708,-0.008483968,-0.012341809,-0.0190171,-0.015087824,0.028244652,-0.011740053,-0.0049672965,-0.004747996,-0.0255406,-0.008919372,0.016187422,-0.015132957,0.0214899,0.016963515,0.015807174,-0.00866119,-0.0019075184,-0.016616749,0.004689299,-0.016569328,-0.02063439,-0.005922831,0.024010751,-0.018431734,-0.002507271,0.0015612833,0.01810506,0.002634346,-0.0014410153,-0.009697388,-0.0064420663,0.01789981,-0.012785449,0.011848655,0.012444667,0.025398249,0.02062408,-0.01745178,0.018616185,-0.005281345,-0.0020981806,-0.004586849,-0.020560157,-0.002519889,0.015016761,0.024078451,-0.01735462,0.022557907
0.833,-0.015125959,-0.002225074,0.0024282257,-0.01268646,-0.02545921,-0.016542796,0.013919434,-0.019005964,0.01025256,0.010965231,-0.024516344,-0.0029823235,0.017557058,-0.01061896,0.03700476,0.027997246,-0.004823077,7.396005e-05,-0.008374331,-0.017359165,-0.0162893,-0.008600583,0.0006897615,0.020924991,0.030777784,-0.017892623,-0.009018464,0.0048538027,0.019912677,0.0069448454,0.009953203,0.0062478,-0.013509616,0.024636183,-0.017118366,0.007458416,0.027314523,-0.0027968585,0.027611615,-0.017941725,-0.002954503,-0.014788084,0.0055507794,0.004110063,-0.016365368,-0.016876604,0.011267383,0.023172602,0.0039732773,0.017748207
0.229,-0.033759296,-0.021132553,0.004886167,-0.0050003477,-0.020237824,-0.019682577,-0.00094428554,-0.018326191,0.011944465,0.02719829,0.0004422121,-0.0034388779,0.018222848,-0.008198157,0.031578586,0.019136952,-0.017526755,0.0073208227,-0.0029532597,-0.02077191,-0.021180414,0.0016269336,0.018645858,0.02364986,0.026566828,-0.0033781566,-0.017454816,-0.008514811,0.01174607,-0.0014253794,0.018060075,0.022133457,-0.015483585,0.023772895,-0.018111419,0.0019363099,0.025594821,-0.027670398,0.021869201,-0.024819532,-0.016207816,-0.0003638214,-0.0047474583,0.005115699,-0.018496642,-0.022222178,-0.011328076,0.024929382,0.017291864,0.013059319
0.125,-0.040906347,-0.034396175,0.01392572,-0.0018719994,-0.02707419,-0.031027243,-0.004222254,-0.024116736,0.020013342,0.025855815,-0.0032453248,-0.009387698,0.0274922,-0.012516048,0.04337691,0.02872903,-0.02720484,0.011082903,-0.0020803846,-0.030031873,-0.02628949,0.005481145,0.030488266,0.037012007,0.041783687,-0.004779399,-0.027642367,-0.00698713,0.018338071,0.0003310573,0.016674576,0.031466417,-0.024449177,0.028937075,-0.021924617,-0.0015923398,0.03915027,-0.03688402,0.03371858,-0.036174174,-0.02029331,-0.0027254673,-0.008289574,0.005454184,-0.020932581,-0.027913967,-0.00850308,0.028773503,0.028969975,0.01585264
0.333,-0.023562388,-0.015214269,0.00071791117,-0.006700831,-0.01588291,-0.019712059,0.0047277985,-0.0210432,0.009488016,0.007590181,-0.0045486214,-0.0020770952,0.011335901,-0.017641341,0.02658516,0.021732368,-0.009419263,0.005621759,-0.007191575,-0.018246368,-0.013426298,0.00694497,0.012919023,0.018009903,0.020253776,-0.004363906,-0.0181201,-0.0003558346,0.01025692,0.0022913413,0.009830405,0.010500332,-0.01127411,0.01656793,-0.009791873,0.0031976944,0.022259798,-0.014421213,0.018863276,-0.021521809,-0.0040543047,-0.0044523985,-0.0013425737,0.00041602436,-0.0171164,-0.01215768,-0.004840206,0.015871193,0.00684319,0.012891829
0.333,-0.039113384,-0.025981043,0.007603759,-0.0054907314,-0.02926537,-0.029719485,-0.003930342,-0.0232153,0.015739921,0.022837974,-0.009204142,-0.007398076,0.026534922,-0.014959881,0.042960007,0.027133841,-0.023055911,0.0077005653,-0.0028686859,-0.020926345,-0.030434534,0.0037116562,0.026592188,0.03283104,0.04336368,-0.008167156,-0.020712283,-0.009344052,0.020210383,0.00247648,0.011954427,0.026945513,-0.022213386,0.030414512,-0.02189742,0.0012334842,0.036262862,-0.031221708,0.034517493,-0.034255233,-0.019610107,-0.0041782456,-0.009899176,0.006698893,-0.02282256,-0.03109171,-0.008220088,0.029772481,0.026022911,0.018059542
0.688,-0.020515107,-0.0067039626,-0.0030086725,-0.015090715,-0.016401488,-0.016744351,-0.0005125252,-0.009889072,0.00561719,0.007855937,-0.008384011,-0.0030750325,0.0194113,-0.010282004,0.03044778,0.02446689,-0.011578459,0.012271455,-0.0077664196,-0.0118088275,-0.01428696,-0.012711415,0.011547478,0.008021261,0.027112953,-0.0024768757,-0.009228396,0.0075450586,0.019928724,0.001417141,0.0051862416,0.01084916,-0.0024086996,0.023513246,-0.009097314,0.0054268125,0.02518596,-0.004287577,0.023920767,-0.010498903,-0.017409125,-0.012802139,-0.009445329,-0.0014656361,-0.019422503,-0.019960698,-0.003462039,0.024098065,0.008561368,0.017972035
0.125,-0.03691701,-0.028020347,0.0059700785,-0.0063190684,-0.023286747,-0.02493419,-0.0015487759,-0.017282816,0.017769894,0.02745463,-0.005470693,-0.004644276,0.017822914,-0.009022406,0.035902377,0.026769811,-0.021052744,0.0064392546,-0.0031801937,-0.026454391,-0.022744184,0.0047058756,0.021228706,0.03240972,0.03498413,-0.004419063,-0.024289446,-0.006367813,0.016799547,-0.0012116551,0.009671313,0.028957011,-0.01717412,0.021158576,-0.017523164,0.00088956725,0.0312768,-0.027033556,0.02059922,-0.02763218,-0.014675826,-0.0044982336,-0.010483552,0.0021412629,-0.0113389995,-0.024134686,-0.0074207466,0.022460163,0.02447105,0.012342743
0.583,-0.020204019,-0.012702914,5.2823285e-05,-0.0067980234,-0.021872543,-0.0148277385,-0.0017222252,-0.016216304,0.0081009185,0.011949015,-0.006425933,-0.011844153,0.023663849,-0.012457822,0.025742779,0.019423725,-0.010846009,0.0070646093,-0.007771246,-0.016784936,-0.019870125,-0.0018508218,0.010630687,0.024223067,0.02905675,-0.010622213,-0.00973735,-0.00786153,0.018880533,-0.00013672188,0.007899599,0.012165209,-0.019321855,0.027244143,-0.0072291805,0.005567356,0.02354114,-0.021710165,0.026188938,-0.027097378,-0.008796579,-0.006107607,0.00026704563,0.009000644,-0.016566804,-0.010763307,-0.00046504324,0.019436928,0.011564871,0.013774376
