anger_index,feature_0,feature_1
0.375,79.56,84.0
0.333,84.52,135.0
0.604,53.66,87.0
0.604,14.67,133.0
0.521,89.9,95.0
0.479,75.69,136.0
0.771,66.41,26.0
0.417,76.5,118.0
0.562,59.68,82.0
0.562,95.17,43.0
0.375,92.87,110.0
0.396,83.33,37.0
0.5,61.45,140.0
0.417,84.9,64.0
0.396,118.18,34.0
0.337,92.87,107.0
0.583,72.72,112.0
0.583,66.15,138.0
0.542,71.77,80.0
0.208,87.95,37.0
0.396,80.78,135.0
0.729,69.64,133.0
0.417,65.79,135.0
0.542,84.84,86.0
0.688,80.1,94.0
0.708,56.61,140.0
0.438,59.75,33.0
0.517,85.02,136.0
0.438,84.84,95.0
0.461,83.77,138.0
0.458,63.87,136.0
0.934,35.31,126.0
0.583,94.04,124.0
0.339,109.04,80.0
0.438,67.76,73.0
0.875,70.0,79.0
0.427,49.91,137.0
0.396,94.04,100.0
0.435,80.79,110.0
0.458,82.39,61.0
0.333,73.17,89.0
0.354,18.42,101.0
0.562,97.03,48.0
0.354,83.01,95.0
0.521,76.56,138.0
0.583,95.42,76.0
0.562,79.94,140.0
0.491,88.91,72.0
0.5,74.81,77.0
0.396,76.56,120.0
0.653,35.31,144.0
0.479,22.42,113.0
0.438,49.53,130.0
0.333,76.56,118.0
0.854,34.62,15.0
0.361,83.77,143.0
0.625,72.99,139.0
0.427,76.75,130.0
0.375,74.27,90.0
0.333,75.5,59.0
0.667,84.8,136.0
0.479,49.5,27.0
0.5,82.39,55.0
0.312,89.9,101.0
0.417,-187.67,72.0
0.521,47.57,137.0
0.625,81.13,139.0
0.812,73.17,134.0
0.312,95.95,56.0
0.542,72.67,140.0
0.542,60.19,107.0
0.583,62.63,140.0
0.229,117.16,22.0
0.417,80.1,106.0
0.833,95.94,70.0
0.521,42.22,143.0
0.667,76.5,72.0
0.646,94.3,60.0
0.75,72.62,44.0
0.333,49.5,51.0
0.271,71.06,98.0
0.562,45.27,138.0
0.844,72.72,127.0
0.083,110.06,54.0
0.438,75.5,60.0
0.479,95.69,52.0
0.5,73.17,100.0
0.396,71.82,47.0
0.521,68.98,117.0
0.458,68.98,92.0
0.5,34.26,102.0
0.688,90.96,40.0
0.521,37.91,63.0
0.462,101.98,138.0
0.292,10.83,137.0
0.5,75.5,62.0
0.604,100.24,24.0
0.312,118.18,27.0
0.521,67.33,105.0
0.5,68.7,140.0
0.271,88.0,66.0
0.792,62.87,132.0
0.646,91.53,134.0
0.542,52.87,84.0
0.479,85.14,109.0
0.91,92.87,105.0
0.438,86.71,97.0
0.333,84.8,110.0
0.5,88.83,97.0
0.566,60.63,140.0
0.438,49.53,139.0
0.417,60.36,144.0
0.771,95.95,74.0
0.096,89.59,97.0
0.542,93.48,103.0
0.84,50.67,64.0
0.358,46.61,89.0
0.125,103.38,64.0
0.708,66.1,39.0
0.519,92.97,37.0
0.521,80.1,80.0
0.817,95.95,68.0
0.255,56.8,140.0
0.5,70.0,131.0
0.147,88.0,64.0
0.396,82.3,133.0
0.032,80.69,91.0
0.583,88.0,75.0
0.354,84.9,54.0
0.646,59.64,128.0
0.479,95.95,73.0
0.562,78.81,110.0
0.292,-58.11,98.0
0.143,85.14,101.0
0.792,95.03,76.0
0.458,66.56,138.0
0.75,74.27,88.0
0.479,60.63,144.0
0.521,89.51,66.0
0.396,79.94,127.0
0.604,65.17,112.0
0.292,92.97,57.0
0.167,66.8,65.0
0.5,65.73,84.0
0.333,76.23,108.0
0.479,81.73,139.0
0.417,73.15,126.0
0.646,95.95,63.0
0.938,69.79,140.0
0.729,102.05,47.0
0.458,-1.58,105.0
0.625,90.09,96.0
0.188,116.15,39.0
0.417,45.27,129.0
0.75,87.95,40.0
0.84,80.46,103.0
0.562,95.95,72.0
0.542,62.81,36.0
0.625,46.61,68.0
0.167,73.2,133.0
0.232,97.03,22.0
0.708,73.07,140.0
0.438,17.38,146.0
0.458,76.75,118.0
0.438,66.8,67.0
0.667,56.99,69.0
0.406,69.76,142.0
0.646,79.16,132.0
0.479,90.96,62.0
0.417,28.77,133.0
0.798,53.98,139.0
0.479,75.5,62.0
0.354,80.79,128.0
0.458,88.91,69.0
0.75,53.12,137.0
0.583,83.77,139.0
0.417,60.71,57.0
0.542,100.01,125.0
0.458,62.63,136.0
0.729,89.86,92.0
0.479,114.12,36.0
0.688,88.37,131.0
0.5,115.13,44.0
0.604,84.84,107.0
0.562,56.99,88.0
0.517,95.03,106.0
0.375,80.46,100.0
0.75,-72.12,34.0
0.673,83.85,74.0
0.629,54.74,25.0
0.521,69.47,132.0
0.764,82.39,42.0
0.396,68.7,135.0
0.417,69.81,132.0
0.833,35.65,15.0
0.521,74.27,92.0
0.333,63.02,139.0
0.5,68.98,91.0
0.521,66.62,139.0
0.375,60.63,128.0
0.479,80.69,106.0
0.625,59.64,131.0
0.208,67.76,64.0
0.479,76.56,136.0
0.771,66.15,136.0
0.25,36.7,7.0
0.646,101.98,60.0
0.562,85.14,102.0
0.583,68.7,137.0
0.208,87.86,133.0
0.583,76.23,97.0
0.438,100.24,71.0
0.312,96.06,115.0
0.375,95.17,77.0
0.292,68.1,135.0
0.583,56.25,103.0
0.458,43.97,82.0
0.375,45.66,51.0
0.542,72.99,139.0
0.542,88.83,118.0
0.375,4.92,110.0
0.472,39.56,105.0
0.854,72.67,140.0
0.229,103.62,47.0
0.417,92.97,65.0
0.521,35.51,126.0
0.438,60.19,127.0
0.792,84.52,138.0
0.688,68.7,118.0
0.812,84.18,112.0
0.646,93.48,98.0
