Unnamed: 0,count,hate_speech,offensive_language,neither,class,Tweet,anger_gpt_score
0,3,0,0,3,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,0.8
1,3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,0.9
2,3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,1.0
3,3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,1.0
4,6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,0.8
5,3,1,2,0,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",0.9
6,3,0,3,0,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",0.9
7,3,0,3,0,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,0.9
8,3,0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that """,0.7
9,3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""bitch",0.9
10,3,0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",0.6
11,3,0,3,0,1,""" Murda Gang bitch its Gang Land """,0.8
12,3,0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG",0.65
13,3,0,3,0,1,""" bad bitches is the only thing that i like """,0.3
14,3,1,2,0,1,""" bitch get up off me """,0.95
15,3,0,3,0,1,""" bitch nigga miss me with it """,1.0
16,3,0,3,0,1,""" bitch plz whatever """,0.75
17,3,1,2,0,1,""" bitch who do you love """,0.5
18,3,0,3,0,1,""" bitches get cut off everyday B """,0.8
19,3,0,3,0,1,""" black bottle &amp; a bad bitch """,0.2
20,3,0,3,0,1,""" broke bitch cant tell me nothing """,0.6
21,3,0,3,0,1,""" cancel that bitch like Nino """,0.8
22,3,0,3,0,1,""" cant you see these hoes wont change """,0.6
23,3,0,3,0,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",0.9
24,3,0,3,0,1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",0.4
25,3,0,2,1,1,""" her pussy lips like Heaven doors "" &#128524;",0.8
26,3,0,3,0,1,""" hoe what its hitting for """,0.5
27,3,0,3,0,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",0.7
28,3,0,3,0,1,""" i need a trippy bitch who fuck on Hennessy """,0.2
29,3,0,3,0,1,""" i spend my money how i want bitch its my business """,0.3
30,3,0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """,0.75
31,3,0,3,0,1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",0.2
32,3,0,3,0,1,""" if you aint bout that Murder Game pussy nigga shut up """,0.75
33,3,0,3,0,1,""" if you're toes ain't done you pussy stinks """,0.3
34,3,0,3,0,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,0.8
35,3,0,3,0,1,""" is that ya bitch """,0.6
